Detector Type,  Detector Time, Detected KeyPoints, Descriptor Type, Descriptor Time, MatcherType, SelectorType, Match Time, Matched KeyPoints
FAST,2.45644,419,BRISK,300.54,FAST,2.06894,427,BRISK,299.948,MAT_BF,SEL_KNN,5.12435,256
FAST,2.02253,404,BRISK,305.457,MAT_BF,SEL_KNN,3.374,243
FAST,1.84759,423,BRISK,307.128,MAT_BF,SEL_KNN,5.59465,241
FAST,1.95289,386,BRISK,304.017,MAT_BF,SEL_KNN,2.3219,239
FAST,2.00384,414,BRISK,312.271,MAT_BF,SEL_KNN,2.28136,215
FAST,2.3391,418,BRISK,305.729,MAT_BF,SEL_KNN,6.39485,251
FAST,2.12964,406,BRISK,312.07,MAT_BF,SEL_KNN,2.59364,248
FAST,1.95527,396,BRISK,442.283,MAT_BF,SEL_KNN,3.14938,243
FAST,2.17758,401,BRISK,308.439,MAT_BF,SEL_KNN,2.36445,247
,247
Detector Type,  Detector Time, Detected KeyPoints, Descriptor Type, Descriptor Time, MatcherType, SelectorType, Match Time, Matched KeyPoints
FAST,3.1387,419,BRISK,344.405,FAST,2.06607,427,BRISK,326.361,MAT_BF,SEL_KNN,3.50991,256
FAST,1.96793,404,BRISK,318.244,MAT_BF,SEL_KNN,2.32964,243
FAST,1.99827,423,BRISK,316.493,MAT_BF,SEL_KNN,2.30647,241
FAST,2.05527,386,BRISK,363.389,MAT_BF,SEL_KNN,2.19686,239
FAST,2.01362,414,BRISK,313.87,MAT_BF,SEL_KNN,2.18351,215
FAST,2.06692,418,BRISK,351.685,MAT_BF,SEL_KNN,2.43839,251
FAST,1.99906,406,BRISK,314.381,MAT_BF,SEL_KNN,2.29723,248
FAST,2.15345,396,BRISK,332.691,MAT_BF,SEL_KNN,4.87206,243
FAST,2.17101,401,BRISK,341.795,MAT_BF,SEL_KNN,4.49996,247
Detector Type,  Detector Time, Detected KeyPoints, Descriptor Type, Descriptor Time, MatcherType, SelectorType, Match Time, Matched KeyPoints
FAST,2.20095,419,BRIEF,2.32036,FAST,2.18531,427,BRIEF,2.13419,MAT_BF,SEL_KNN,2.36818,320
FAST,1.99625,404,BRIEF,1.9827,MAT_BF,SEL_KNN,2.43956,332
FAST,1.95199,423,BRIEF,1.43301,MAT_BF,SEL_KNN,4.46849,299
FAST,1.98821,386,BRIEF,2.12875,MAT_BF,SEL_KNN,1.93444,331
FAST,2.1603,414,BRIEF,1.57805,MAT_BF,SEL_KNN,3.01954,276
FAST,1.97426,418,BRIEF,1.80053,MAT_BF,SEL_KNN,2.09407,327
FAST,2.5299,406,BRIEF,1.50926,MAT_BF,SEL_KNN,2.46798,324
FAST,2.05646,396,BRIEF,1.39458,MAT_BF,SEL_KNN,2.20673,315
FAST,2.12885,401,BRIEF,1.72724,MAT_BF,SEL_KNN,1.93501,307
Detector Type,  Detector Time, Detected KeyPoints, Descriptor Type, Descriptor Time, MatcherType, SelectorType, Match Time, Matched KeyPoints
FAST,8.63812,419,ORB,23.6478,FAST,4.22993,427,ORB,1.84064,MAT_BF,SEL_KNN,3.14422,307
FAST,1.95604,404,ORB,2.07531,MAT_BF,SEL_KNN,2.02312,308
FAST,2.12022,423,ORB,2.20152,MAT_BF,SEL_KNN,2.2238,298
FAST,1.97812,386,ORB,2.99377,MAT_BF,SEL_KNN,2.04786,321
FAST,1.8883,414,ORB,1.45899,MAT_BF,SEL_KNN,2.19738,283
FAST,2.3857,418,ORB,1.64991,MAT_BF,SEL_KNN,2.21883,315
FAST,3.34635,406,ORB,1.96117,MAT_BF,SEL_KNN,1.99642,323
FAST,1.92218,396,ORB,1.45336,MAT_BF,SEL_KNN,2.63385,302
FAST,2.03826,401,ORB,1.83874,MAT_BF,SEL_KNN,1.89549,311
Detector Type,  Detector Time, Detected KeyPoints, Descriptor Type, Descriptor Time, MatcherType, SelectorType, Match Time, Matched KeyPoints
FAST,2.13513,419,FREAK,54.5455,FAST,2.0852,427,FREAK,41.6865,MAT_BF,SEL_KNN,5.15407,251
FAST,1.86907,404,FREAK,39.5492,MAT_BF,SEL_KNN,2.30635,247
FAST,1.9904,423,FREAK,39.9808,MAT_BF,SEL_KNN,2.26868,233
FAST,1.87216,386,FREAK,38.3778,MAT_BF,SEL_KNN,2.19297,255
FAST,1.88596,414,FREAK,38.8663,MAT_BF,SEL_KNN,2.19293,231
FAST,1.96573,418,FREAK,39.315,MAT_BF,SEL_KNN,2.3008,265
FAST,1.91955,406,FREAK,38.5862,MAT_BF,SEL_KNN,2.25642,251
FAST,1.91886,396,FREAK,38.4071,MAT_BF,SEL_KNN,2.15067,253
FAST,2.02993,401,FREAK,39.1869,MAT_BF,SEL_KNN,2.21795,247
Detector Type,  Detector Time, Detected KeyPoints, Descriptor Type, Descriptor Time, MatcherType, SelectorType, Match Time, Matched KeyPoints
FAST,12.7583,419,SIFT,90.2522,FAST,2.18489,427,SIFT,40.8966,MAT_BF,SEL_KNN,3.55022,316
FAST,1.91043,404,SIFT,44.2826,MAT_BF,SEL_KNN,3.41147,325
FAST,1.88427,423,SIFT,42.5865,MAT_BF,SEL_KNN,3.47286,297
FAST,1.89607,386,SIFT,40.3844,MAT_BF,SEL_KNN,3.34943,311
FAST,1.93255,414,SIFT,37.9446,MAT_BF,SEL_KNN,3.20128,291
FAST,1.9136,418,SIFT,39.5567,MAT_BF,SEL_KNN,7.34968,326
FAST,1.92757,406,SIFT,40.5745,MAT_BF,SEL_KNN,9.81015,315
FAST,2.00892,396,SIFT,40.3745,MAT_BF,SEL_KNN,3.23165,300
FAST,2.12801,401,SIFT,37.2902,MAT_BF,SEL_KNN,3.18509,301
Detector Type,  Detector Time, Detected KeyPoints, Descriptor Type, Descriptor Time, MatcherType, SelectorType, Match Time, Matched KeyPoints
FAST,2.27674,419,SIFT,40.4586,FAST,3.25603,427,SIFT,43.2247,MAT_FLANN,SEL_KNN,6.99229,317
FAST,1.8938,404,SIFT,42.4627,MAT_FLANN,SEL_KNN,6.45045,325
FAST,1.93512,423,SIFT,40.8854,MAT_FLANN,SEL_KNN,6.27831,299
FAST,2.00102,386,SIFT,39.2367,MAT_FLANN,SEL_KNN,6.18867,311
FAST,1.91164,414,SIFT,37.4767,MAT_FLANN,SEL_KNN,6.05938,291
FAST,1.9247,418,SIFT,36.4988,MAT_FLANN,SEL_KNN,6.55315,327
FAST,1.89701,406,SIFT,35.0388,MAT_FLANN,SEL_KNN,6.28259,317
FAST,1.97796,396,SIFT,35.4137,MAT_FLANN,SEL_KNN,6.27198,301
FAST,1.94527,401,SIFT,37.211,MAT_FLANN,SEL_KNN,6.03543,301
Detector Type,  Detector Time, Detected KeyPoints, Descriptor Type, Descriptor Time, MatcherType, SelectorType, Match Time, Matched KeyPoints
FAST,2.17664,419,FREAK,58.5734,FAST,2.11038,427,FREAK,41.7379,MAT_FLANN,SEL_KNN,10.6593,251
FAST,1.99431,404,FREAK,40.3413,MAT_FLANN,SEL_KNN,8.91977,250
FAST,2.0001,423,FREAK,39.7333,MAT_FLANN,SEL_KNN,7.97353,238
FAST,1.85786,386,FREAK,38.9256,MAT_FLANN,SEL_KNN,7.34218,258
FAST,1.89727,414,FREAK,39.2764,MAT_FLANN,SEL_KNN,8.05703,234
FAST,1.89163,418,FREAK,39.8053,MAT_FLANN,SEL_KNN,8.37812,270
FAST,2.00401,406,FREAK,39.1522,MAT_FLANN,SEL_KNN,8.40692,255
FAST,1.92035,396,FREAK,39.5972,MAT_FLANN,SEL_KNN,9.45485,253
FAST,1.94804,401,FREAK,39.8197,MAT_FLANN,SEL_KNN,7.22405,250
Detector Type,  Detector Time, Detected KeyPoints, Descriptor Type, Descriptor Time, MatcherType, SelectorType, Match Time, Matched KeyPoints
FAST,2.1581,419,ORB,1.81745,FAST,2.21302,427,ORB,2.29301,MAT_FLANN,SEL_KNN,18.3797,309
FAST,1.88319,404,ORB,1.52599,MAT_FLANN,SEL_KNN,8.14576,318
FAST,1.96936,423,ORB,1.81003,MAT_FLANN,SEL_KNN,8.51308,301
FAST,2.03127,386,ORB,1.81291,MAT_FLANN,SEL_KNN,8.76256,325
FAST,2.23331,414,ORB,1.48875,MAT_FLANN,SEL_KNN,7.33983,287
FAST,2.17587,418,ORB,1.51903,MAT_FLANN,SEL_KNN,8.34863,320
FAST,2.01126,406,ORB,1.45869,MAT_FLANN,SEL_KNN,7.50764,322
FAST,2.04077,396,ORB,1.71394,MAT_FLANN,SEL_KNN,7.51894,301
FAST,2.1669,401,ORB,2.05094,MAT_FLANN,SEL_KNN,7.53939,311
Detector Type,  Detector Time, Detected KeyPoints, Descriptor Type, Descriptor Time, MatcherType, SelectorType, Match Time, Matched KeyPoints
FAST,2.12543,419,BRIEF,2.28642,FAST,2.00486,427,BRIEF,2.01003,MAT_FLANN,SEL_KNN,8.30583,319
FAST,1.95036,404,BRIEF,1.96678,MAT_FLANN,SEL_KNN,7.9329,330
FAST,1.89026,423,BRIEF,1.44371,MAT_FLANN,SEL_KNN,8.78282,298
FAST,1.92963,386,BRIEF,1.92773,MAT_FLANN,SEL_KNN,8.39932,331
FAST,1.9624,414,BRIEF,1.50305,MAT_FLANN,SEL_KNN,7.86409,277
FAST,1.96781,418,BRIEF,1.54815,MAT_FLANN,SEL_KNN,8.23359,326
FAST,1.99029,406,BRIEF,1.81007,MAT_FLANN,SEL_KNN,7.73017,323
FAST,2.02843,396,BRIEF,1.42286,MAT_FLANN,SEL_KNN,11.3677,316
FAST,2.08578,401,BRIEF,2.40439,MAT_FLANN,SEL_KNN,6.54712,306
FAST,2.15503,419,BRISK,296.864,FAST,2.10269,427,BRISK,297.747,MAT_FLANN,SEL_KNN,6.98646,265
FAST,1.94143,404,BRISK,302.863,MAT_FLANN,SEL_KNN,7.91867,253
FAST,1.9843,423,BRISK,311.784,MAT_FLANN,SEL_KNN,7.75753,247
FAST,1.89643,386,BRISK,295.221,MAT_FLANN,SEL_KNN,8.34116,247
FAST,1.99917,414,BRISK,295.384,MAT_FLANN,SEL_KNN,7.49782,224
FAST,2.01063,418,BRISK,295.248,MAT_FLANN,SEL_KNN,6.07533,257
FAST,2.02433,406,BRISK,293.399,MAT_FLANN,SEL_KNN,6.72161,253
FAST,1.93678,396,BRISK,295.186,MAT_FLANN,SEL_KNN,6.22653,249
FAST,2.02413,401,BRISK,294.044,MAT_FLANN,SEL_KNN,7.46132,257
SHITOMASI,29.8499,125,BRISK,293.13,SHITOMASI,13.5669,118,BRISK,303.213,MAT_BF,SEL_KNN,0.353601,95
SHITOMASI,12.8715,123,BRISK,292.868,MAT_BF,SEL_KNN,0.289904,88
SHITOMASI,12.8115,120,BRISK,292.753,MAT_BF,SEL_KNN,0.313684,80
SHITOMASI,12.8678,120,BRISK,291.393,MAT_BF,SEL_KNN,0.2975,90
SHITOMASI,13.005,113,BRISK,292.129,MAT_BF,SEL_KNN,0.276654,82
SHITOMASI,14.285,114,BRISK,291.327,MAT_BF,SEL_KNN,0.274375,79
SHITOMASI,14.2054,123,BRISK,292.168,MAT_BF,SEL_KNN,0.290149,85
SHITOMASI,13.7411,111,BRISK,294.384,MAT_BF,SEL_KNN,0.28699,86
SHITOMASI,13.9147,112,BRISK,291.198,MAT_BF,SEL_KNN,0.285755,82
SHITOMASI,16.1466,125,BRIEF,0.795714,SHITOMASI,14.8315,118,BRIEF,1.3623,MAT_BF,SEL_KNN,0.414207,115
SHITOMASI,14.9093,123,BRIEF,1.24719,MAT_BF,SEL_KNN,0.310482,111
SHITOMASI,14.2333,120,BRIEF,1.31169,MAT_BF,SEL_KNN,0.258278,104
SHITOMASI,14.1016,120,BRIEF,1.2372,MAT_BF,SEL_KNN,0.25609,101
SHITOMASI,14.1219,113,BRIEF,1.26978,MAT_BF,SEL_KNN,0.270738,102
SHITOMASI,14.5714,114,BRIEF,1.10487,MAT_BF,SEL_KNN,0.238084,102
SHITOMASI,14.981,123,BRIEF,1.14021,MAT_BF,SEL_KNN,0.249734,100
SHITOMASI,14.0127,111,BRIEF,1.56445,MAT_BF,SEL_KNN,0.30694,109
SHITOMASI,13.9711,112,BRIEF,1.28882,MAT_BF,SEL_KNN,0.327401,100
SHITOMASI,14.437,125,ORB,1.45776,SHITOMASI,14.2627,118,ORB,1.51189,MAT_BF,SEL_KNN,0.47884,106
SHITOMASI,14.48,123,ORB,1.20016,MAT_BF,SEL_KNN,0.266387,102
SHITOMASI,14.7554,120,ORB,1.09551,MAT_BF,SEL_KNN,0.267849,99
SHITOMASI,14.507,120,ORB,1.42241,MAT_BF,SEL_KNN,0.433155,102
SHITOMASI,14.8285,113,ORB,1.29195,MAT_BF,SEL_KNN,0.258838,103
SHITOMASI,14.2513,114,ORB,1.29267,MAT_BF,SEL_KNN,0.279693,97
SHITOMASI,14.3804,123,ORB,1.3483,MAT_BF,SEL_KNN,0.247792,98
SHITOMASI,13.974,111,ORB,1.29771,MAT_BF,SEL_KNN,0.280486,104
SHITOMASI,13.9981,112,ORB,1.2593,MAT_BF,SEL_KNN,0.239981,97
SHITOMASI,15.0398,125,FREAK,40.3056,SHITOMASI,13.2759,118,FREAK,37.2759,MAT_BF,SEL_KNN,0.578782,86
